@relation jobs_in_data

@attribute job_category {'Data Architecture and Modeling','Data Science and Research','Machine Learning and AI','Data Engineering','Data Analysis','Leadership and Management','BI and Visualization','Data Management and Strategy','Data Quality and Operations','Cloud and Database'}
@attribute experience_level {Senior,Mid-level,Executive,Entry-level}
@attribute work_setting {In-person,Remote,Hybrid}
@attribute company_size {M,L,S}
@attribute salary_in_usd numeric

@data
'Data Engineering',Senior,In-person,M,135000
'Data Engineering',Senior,In-person,M,100000
'Machine Learning and AI',Senior,In-person,M,294000
'Machine Learning and AI',Senior,In-person,M,192000
'Machine Learning and AI',Senior,In-person,M,266000
'Machine Learning and AI',Senior,In-person,M,167000
'Machine Learning and AI',Senior,Remote,M,200000
'Machine Learning and AI',Senior,Remote,M,150000
'Data Analysis',Entry-level,Remote,M,163800
'Data Analysis',Entry-level,Remote,M,88200
'Data Analysis',Senior,In-person,M,180400
'Data Analysis',Senior,In-person,M,138800
'Machine Learning and AI',Senior,Remote,M,319000
'Machine Learning and AI',Senior,Remote,M,206000
'Data Science and Research',Senior,In-person,M,215000
'Data Science and Research',Senior,In-person,M,142000
'Data Science and Research',Senior,In-person,M,266000
'Data Science and Research',Senior,In-person,M,167000
'Data Analysis',Senior,In-person,M,140130
'Data Analysis',Senior,In-person,M,84870
'Data Engineering',Mid-level,In-person,M,178300
'Data Engineering',Mid-level,In-person,M,105400
'Data Science and Research',Mid-level,In-person,L,222200
'Data Science and Research',Mid-level,In-person,L,136000
'Machine Learning and AI',Senior,In-person,M,215000
'Machine Learning and AI',Senior,In-person,M,142000
'Data Science and Research',Senior,Remote,M,240000
'Data Science and Research',Senior,Remote,M,210000
'Data Engineering',Senior,In-person,M,122000
'Data Engineering',Senior,In-person,M,94500
'Data Engineering',Mid-level,In-person,M,150000
'Data Science and Research',Senior,In-person,M,116000
'Data Science and Research',Senior,In-person,M,90000
'Data Science and Research',Senior,In-person,M,145000
'Data Science and Research',Senior,In-person,M,128000
'Data Engineering',Senior,Remote,M,154000
'Data Engineering',Senior,Remote,M,126000
'Machine Learning and AI',Senior,In-person,M,240000
'Machine Learning and AI',Senior,In-person,M,157250
'Data Engineering',Executive,Remote,M,219650
'Data Engineering',Executive,Remote,M,136000
'Data Science and Research',Senior,In-person,M,150000
'Machine Learning and AI',Mid-level,Remote,M,180000
'Machine Learning and AI',Mid-level,Remote,M,125000
'Data Science and Research',Senior,In-person,L,247600
'Data Science and Research',Senior,In-person,L,127300
'Data Science and Research',Mid-level,In-person,M,60000
'Data Science and Research',Mid-level,In-person,M,55000
'Data Engineering',Mid-level,In-person,M,250000
'Data Engineering',Mid-level,In-person,M,125000
'Machine Learning and AI',Senior,Remote,M,190000
'Machine Learning and AI',Senior,Remote,M,170000
'Data Science and Research',Senior,Remote,M,202600
'Data Science and Research',Senior,Remote,M,168800
'Data Engineering',Mid-level,Remote,M,132000
'Data Engineering',Mid-level,Remote,M,111000
'Data Science and Research',Senior,Remote,M,203000
'Data Science and Research',Senior,Remote,M,127000
'BI and Visualization',Mid-level,Remote,M,125009
'BI and Visualization',Mid-level,Remote,M,83339
'Data Analysis',Senior,Remote,M,112200
'Data Analysis',Senior,Remote,M,91800
'Machine Learning and AI',Senior,In-person,M,200000
'Machine Learning and AI',Senior,In-person,M,160000
'Data Architecture and Modeling',Senior,In-person,M,185000
'Data Architecture and Modeling',Senior,In-person,M,150000
'Data Engineering',Mid-level,In-person,M,160000
'Data Engineering',Mid-level,In-person,M,130000
'Data Engineering',Senior,In-person,M,145000
'Data Engineering',Senior,In-person,M,115000
'Data Engineering',Senior,In-person,M,254000
'Data Engineering',Senior,In-person,M,159000
'Data Engineering',Senior,In-person,M,170000
'Data Engineering',Senior,In-person,M,85000
'Data Science and Research',Mid-level,In-person,M,130500
'Data Science and Research',Mid-level,In-person,M,116000
'Data Science and Research',Entry-level,Remote,M,81400
'Data Science and Research',Entry-level,Remote,M,43500
'Data Engineering',Mid-level,In-person,M,169000
'Data Engineering',Mid-level,In-person,M,92000
'Data Analysis',Senior,In-person,M,166000
'Data Analysis',Senior,In-person,M,73100
'Data Science and Research',Senior,In-person,M,190000
'Data Science and Research',Senior,In-person,M,165000
'Machine Learning and AI',Senior,In-person,M,305600
'Machine Learning and AI',Senior,In-person,M,146600
'Data Analysis',Senior,In-person,M,150000
'Data Analysis',Senior,In-person,M,120000
'Data Engineering',Senior,In-person,M,275000
'Data Engineering',Senior,In-person,M,146400
'Data Science and Research',Senior,In-person,M,208500
'Data Science and Research',Senior,In-person,M,165000
'Data Science and Research',Senior,In-person,M,258700
'Data Science and Research',Senior,In-person,M,172500
'Data Engineering',Mid-level,In-person,M,150000
'Data Engineering',Mid-level,In-person,M,130000
'Data Engineering',Senior,Remote,M,185000
'Data Engineering',Senior,Remote,M,150000
'Data Analysis',Senior,In-person,M,166000
'Data Analysis',Senior,In-person,M,73100
'BI and Visualization',Senior,In-person,M,198200
'BI and Visualization',Senior,In-person,M,110200
'Machine Learning and AI',Senior,In-person,M,166000
'Machine Learning and AI',Senior,In-person,M,73100
'Machine Learning and AI',Senior,In-person,M,212000
'Machine Learning and AI',Senior,In-person,M,93300
'Machine Learning and AI',Senior,In-person,M,212000
'Machine Learning and AI',Senior,In-person,M,93300
'Data Engineering',Senior,In-person,M,166000
'Data Engineering',Senior,In-person,M,73100
'Data Engineering',Mid-level,In-person,M,167100
'Data Engineering',Mid-level,In-person,M,111400
'Data Engineering',Senior,In-person,M,133000
'Data Engineering',Senior,In-person,M,58400
'Data Science and Research',Entry-level,Remote,M,166000
'Data Science and Research',Entry-level,Remote,M,73100
'Data Analysis',Executive,In-person,M,170000
'Data Analysis',Executive,In-person,M,145000
'Data Science and Research',Senior,In-person,M,212000
'Data Science and Research',Senior,In-person,M,93300
'Data Architecture and Modeling',Senior,Remote,M,170000
'Data Architecture and Modeling',Senior,Remote,M,135000
'Data Engineering',Senior,In-person,M,145000
'Data Engineering',Senior,In-person,M,115000
'Data Engineering',Senior,In-person,M,139810
'Data Engineering',Senior,In-person,M,95325
'Data Science and Research',Senior,In-person,M,278700
'Data Science and Research',Senior,In-person,M,159300
'Data Engineering',Senior,Remote,M,247300
'Data Engineering',Senior,Remote,M,139700
'Data Science and Research',Senior,Remote,M,188000
'Data Science and Research',Senior,Remote,M,139000
'Data Science and Research',Senior,In-person,M,150000
'Data Engineering',Senior,In-person,M,160000
'Data Engineering',Senior,In-person,M,94000
'Leadership and Management',Mid-level,Remote,M,127000
'Leadership and Management',Mid-level,Remote,M,65000
'Machine Learning and AI',Senior,In-person,M,276000
'Machine Learning and AI',Senior,In-person,M,174000
'Data Science and Research',Senior,In-person,L,260000
'Data Science and Research',Senior,In-person,L,136000
'Leadership and Management',Executive,Remote,M,250000
'Leadership and Management',Executive,Remote,M,210000
'Data Science and Research',Senior,Remote,M,188000
'Data Science and Research',Senior,Remote,M,139000
'Machine Learning and AI',Senior,In-person,M,238000
'Machine Learning and AI',Senior,In-person,M,176000
'Machine Learning and AI',Senior,In-person,M,204500
'Machine Learning and AI',Senior,In-person,M,142200
'Data Science and Research',Executive,In-person,M,212000
'Data Science and Research',Executive,In-person,M,190000
'Data Science and Research',Senior,In-person,L,261500
'Data Science and Research',Senior,In-person,L,134500
'Data Architecture and Modeling',Senior,In-person,L,239000
'Data Architecture and Modeling',Senior,In-person,L,122900
'Leadership and Management',Senior,In-person,M,115000
'Leadership and Management',Senior,In-person,M,95000
'Machine Learning and AI',Senior,In-person,M,331640
'Machine Learning and AI',Senior,In-person,M,267720
'Data Engineering',Senior,In-person,M,180000
'Data Engineering',Senior,In-person,M,90000
'Data Analysis',Mid-level,Remote,M,83000
'Data Analysis',Mid-level,Remote,M,66000
'Data Science and Research',Senior,In-person,M,224250
'Data Science and Research',Senior,In-person,M,121550
'Data Science and Research',Mid-level,In-person,M,166000
'Data Science and Research',Mid-level,In-person,M,73100
'Data Science and Research',Senior,In-person,M,141298
'Data Science and Research',Senior,In-person,M,115607
'Data Engineering',Mid-level,Remote,M,109000
'Data Engineering',Mid-level,Remote,M,100000
'Data Science and Research',Senior,In-person,M,205400
'Data Science and Research',Senior,In-person,M,92900
'Machine Learning and AI',Entry-level,In-person,M,220000
'Machine Learning and AI',Entry-level,In-person,M,130000
'Data Science and Research',Mid-level,Remote,M,160000
'Data Science and Research',Mid-level,Remote,M,110000
'Data Engineering',Senior,In-person,M,230000
'Data Engineering',Senior,In-person,M,100000
'BI and Visualization',Senior,Remote,M,186030
'BI and Visualization',Senior,Remote,M,110200
'Data Science and Research',Mid-level,Remote,M,130000
'Data Science and Research',Mid-level,Remote,M,100000
'Data Science and Research',Mid-level,In-person,M,242000
'Data Science and Research',Mid-level,In-person,M,106200
'Data Science and Research',Executive,Remote,M,220000
'Data Science and Research',Executive,Remote,M,120000
'Data Science and Research',Senior,In-person,M,258000
'Data Science and Research',Senior,In-person,M,171000
'Data Science and Research',Entry-level,In-person,M,91200
'Data Science and Research',Entry-level,In-person,M,58200
'Data Science and Research',Senior,Remote,M,192000
'Data Science and Research',Senior,Remote,M,178000
'Data Engineering',Senior,Remote,M,210000
'Data Engineering',Senior,Remote,M,130000
'Data Science and Research',Entry-level,In-person,M,160000
'Data Science and Research',Entry-level,In-person,M,150000
'Data Science and Research',Senior,In-person,L,260000
'Data Science and Research',Senior,In-person,L,136000
'Data Architecture and Modeling',Senior,In-person,M,206000
'Data Architecture and Modeling',Senior,In-person,M,134000
'Data Science and Research',Senior,Remote,M,180000
'Data Science and Research',Senior,Remote,M,135000
'Data Science and Research',Senior,In-person,M,200000
'Data Science and Research',Senior,In-person,M,120000
'Machine Learning and AI',Senior,In-person,M,212000
'Machine Learning and AI',Senior,In-person,M,93300
'Data Engineering',Mid-level,In-person,M,106700
'Data Engineering',Mid-level,In-person,M,57700
'Machine Learning and AI',Senior,In-person,M,266400
'Machine Learning and AI',Senior,In-person,M,173300
'Data Analysis',Mid-level,In-person,M,125000
'Data Analysis',Mid-level,In-person,M,100000
'BI and Visualization',Senior,In-person,L,165600
'BI and Visualization',Senior,In-person,L,65800
'Data Science and Research',Mid-level,In-person,M,210400
'Data Science and Research',Mid-level,In-person,M,170500
'Data Science and Research',Senior,In-person,M,212000
'Data Science and Research',Senior,In-person,M,93300
'Data Engineering',Mid-level,Remote,M,170000
'Data Engineering',Mid-level,Remote,M,160000
'Data Science and Research',Senior,Remote,M,185400
'Data Science and Research',Senior,Remote,M,81536
'Data Analysis',Senior,In-person,M,193000
'Data Analysis',Senior,In-person,M,158000
'Data Engineering',Senior,Remote,M,170000
'Data Engineering',Senior,Remote,M,100000
'Data Science and Research',Mid-level,In-person,L,222200
'Data Science and Research',Mid-level,In-person,L,136000
'Data Engineering',Mid-level,In-person,M,148000
'Data Engineering',Mid-level,In-person,M,99000
'Machine Learning and AI',Senior,In-person,M,204500
'Machine Learning and AI',Senior,In-person,M,142200
'Data Analysis',Mid-level,Remote,M,95000
'Data Analysis',Mid-level,Remote,M,75000
'Data Analysis',Mid-level,In-person,M,115000
'Data Analysis',Mid-level,In-person,M,105000
'Data Engineering',Senior,In-person,M,195800
'Data Engineering',Senior,In-person,M,161900
'Data Analysis',Mid-level,Remote,M,90000
'Data Analysis',Mid-level,Remote,M,80000
'Data Analysis',Senior,Remote,M,192500
'Data Analysis',Senior,Remote,M,140000
'Leadership and Management',Mid-level,In-person,M,100000
'Leadership and Management',Mid-level,In-person,M,75000
'Data Engineering',Mid-level,In-person,M,169000
'Data Engineering',Mid-level,In-person,M,91000
'Data Analysis',Senior,In-person,M,150000
'Data Analysis',Senior,In-person,M,120000
'Data Engineering',Mid-level,In-person,M,133000
'Data Engineering',Mid-level,In-person,M,58400
'Data Science and Research',Senior,In-person,M,166000
'Data Science and Research',Senior,In-person,M,73100
'Data Science and Research',Mid-level,In-person,M,166000
'Data Science and Research',Mid-level,In-person,M,73100
'Machine Learning and AI',Senior,In-person,M,336300
'Machine Learning and AI',Senior,In-person,M,179000
'Machine Learning and AI',Senior,In-person,M,296400
'Machine Learning and AI',Senior,In-person,M,159600
'Data Science and Research',Senior,In-person,M,212000
'Data Science and Research',Senior,In-person,M,93300
'Machine Learning and AI',Senior,In-person,M,204500
'Machine Learning and AI',Senior,In-person,M,142200
'Leadership and Management',Senior,Remote,M,258500
'Leadership and Management',Senior,Remote,M,226500
'Data Science and Research',Senior,In-person,M,247250
'Data Science and Research',Senior,In-person,M,118400
'BI and Visualization',Mid-level,In-person,M,160000
'BI and Visualization',Mid-level,In-person,M,140000
'Machine Learning and AI',Senior,In-person,M,212000
'Machine Learning and AI',Senior,In-person,M,93400
'Data Science and Research',Senior,In-person,M,219000
'Data Science and Research',Senior,In-person,M,132000
'Data Science and Research',Senior,In-person,M,130500
'Data Science and Research',Senior,In-person,M,116000
'Data Science and Research',Senior,In-person,M,323300
'Data Science and Research',Senior,In-person,M,184700
'Machine Learning and AI',Senior,In-person,M,250000
'Machine Learning and AI',Senior,In-person,M,200000
'Data Science and Research',Mid-level,In-person,M,136000
'Data Science and Research',Mid-level,In-person,M,91000
'Data Science and Research',Senior,In-person,M,185900
'Data Science and Research',Senior,In-person,M,129300
'Data Science and Research',Entry-level,In-person,M,135000
'Data Science and Research',Entry-level,In-person,M,110000
'Data Science and Research',Senior,In-person,M,137500
'Data Science and Research',Senior,In-person,M,81500
'BI and Visualization',Senior,Remote,M,202000
'BI and Visualization',Senior,Remote,M,147000
'Data Science and Research',Senior,In-person,M,140000
'Data Science and Research',Senior,In-person,M,125000
'Data Science and Research',Senior,In-person,M,170625
'Data Science and Research',Senior,In-person,M,127950
'Data Analysis',Entry-level,In-person,M,85256
'Data Analysis',Entry-level,In-person,M,71615
'Data Science and Research',Entry-level,In-person,L,100000
'Data Science and Research',Mid-level,In-person,S,100000
'Data Engineering',Executive,In-person,M,185000
'Data Engineering',Executive,In-person,M,125000
'Data Management and Strategy',Entry-level,Remote,M,60000
'Data Management and Strategy',Entry-level,Remote,M,52000
'Machine Learning and AI',Senior,In-person,M,300000
'Machine Learning and AI',Senior,In-person,M,260000
'Data Science and Research',Senior,In-person,M,225000
'Data Science and Research',Senior,In-person,M,170000
'BI and Visualization',Senior,Remote,M,100000
'BI and Visualization',Senior,Remote,M,80000
'Machine Learning and AI',Senior,In-person,M,204500
'Machine Learning and AI',Senior,In-person,M,142200
'Data Science and Research',Senior,Remote,M,135000
'Data Science and Research',Senior,Remote,M,100000
'Data Science and Research',Senior,Remote,M,297300
'Data Science and Research',Senior,Remote,M,198200
'Machine Learning and AI',Senior,Remote,M,240000
'Machine Learning and AI',Senior,Remote,M,190000
'BI and Visualization',Senior,In-person,L,185000
'BI and Visualization',Senior,In-person,L,79600
'Data Science and Research',Senior,In-person,L,222200
'Data Science and Research',Senior,In-person,L,136000
'Data Engineering',Senior,Remote,M,110000
'Data Engineering',Senior,Remote,M,95000
'Machine Learning and AI',Senior,In-person,M,324000
'Machine Learning and AI',Senior,In-person,M,159000
'Data Science and Research',Mid-level,Remote,M,71000
'Data Science and Research',Mid-level,Remote,M,57000
'Data Science and Research',Senior,In-person,L,222200
'Data Science and Research',Senior,In-person,L,136000
'Machine Learning and AI',Senior,Remote,M,200000
'Machine Learning and AI',Senior,Remote,M,150000
'Data Analysis',Mid-level,Remote,M,59000
'Data Analysis',Mid-level,Remote,M,50000
'Machine Learning and AI',Senior,Remote,M,234000
'Machine Learning and AI',Senior,Remote,M,208000
'Leadership and Management',Senior,Remote,M,187000
'Leadership and Management',Senior,Remote,M,128000
'BI and Visualization',Senior,Remote,M,202000
'BI and Visualization',Senior,Remote,M,147000
'Data Analysis',Mid-level,In-person,M,135000
'Data Analysis',Mid-level,In-person,M,120000
'Data Architecture and Modeling',Mid-level,Remote,M,150000
'Data Architecture and Modeling',Mid-level,Remote,M,140000
'Data Science and Research',Senior,In-person,M,190000
'Data Science and Research',Senior,In-person,M,165000
'Data Science and Research',Senior,Remote,M,280000
'Data Science and Research',Senior,Remote,M,190000
'Data Science and Research',Executive,In-person,M,212000
'Data Science and Research',Executive,In-person,M,190000
'Machine Learning and AI',Senior,In-person,M,245700
'Machine Learning and AI',Senior,In-person,M,132300
'Data Management and Strategy',Mid-level,In-person,M,90000
'Data Management and Strategy',Mid-level,In-person,M,80000
'Machine Learning and AI',Senior,In-person,M,212000
'Machine Learning and AI',Senior,In-person,M,93300
'Data Science and Research',Mid-level,In-person,M,212000
'Data Science and Research',Mid-level,In-person,M,93300
'Machine Learning and AI',Senior,In-person,M,276000
'Machine Learning and AI',Senior,In-person,M,174000
'Data Engineering',Mid-level,In-person,M,133000
'Data Engineering',Mid-level,In-person,M,58300
'Data Analysis',Senior,In-person,M,145640
'Data Analysis',Senior,In-person,M,84400
'Data Engineering',Senior,Remote,M,300000
'Data Engineering',Senior,Remote,M,195000
'Data Analysis',Senior,In-person,M,105000
'Data Analysis',Senior,In-person,M,75000
'Data Analysis',Senior,Remote,M,140000
'Data Analysis',Senior,Remote,M,98000
'Machine Learning and AI',Senior,In-person,M,204500
'Machine Learning and AI',Senior,In-person,M,142200
'Data Science and Research',Senior,Remote,M,236160
'Data Science and Research',Senior,Remote,M,159408
'Data Analysis',Senior,Remote,M,115000
'Data Analysis',Senior,Remote,M,85000
'Leadership and Management',Senior,In-person,M,145000
'Leadership and Management',Senior,In-person,M,120000
